
     COMPANY : J. BLACKWOOD & SON LIMITED      
     PUTAWAY LIST AT MONDAY, NOVEMBER 11, 2013 16:00     PAGE   1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  Location                       | Stock ID | Quantity  | UOM| Confirm | Putaway   | Date & Time | Receipt  | Product
         From        |          To          |  # |          |           |    |         | Priority  |             | Number   |        
RECEIVE              | 12641402             |  1 | A4813046 |      2    | PH | _______ | Putaway   | 11/11 10:49 | SM563348 | 02409768  TIE CABLE RELEASABLE BLK PRT2S-CO PK100 
RECEIVE              | 12645901             |  1 | A4813371 |    198    | EA | _______ | Putaway   | 11/11 15:32 | SM564073 | 02828109  BOLT&NUT HEX HD CL4.6 GAL 16X180MM      
RECEIVE              | 12681401             |  1 | A4813377 |    473    | EA | _______ | Putaway   | 11/11 15:32 | SM564073 | 02894308  SCREW COACH HEX HD GAL 12X50MM          
RECEIVE              | 12682002             |  1 | A4813343 |      1    | EA | _______ | Putaway   | 11/11 14:49 | SM563642 | 01253128  LEAD LIGHT VERSALITE 11W 240/12V C/W TR 
RECEIVE              | 12694701             |  1 | A4812822 |    150    | EA | _______ | Putaway   | 11/11 09:06 | SM562991 | 02838704  BOLT&NUT HEX HD CL4.6 ZP 10X30MM        
RECEIVE              | 12701401             |  1 | A4813079 |      2    | RL | _______ | Putaway   | 11/11 11:09 | SM563418 | 00501059  WIRE MIG AL5356 ROLL 7.0KG 722227 1.2MM 
RECEIVE              | 13014101             |  1 | A4813127 |      1    | EA | _______ | Putaway   | 11/11 11:29 | SM562588 | 03170500  BUSH STEEL STEAM HEXAGONAL  40NB X 32NB 
RECEIVE              | 13015501             |  1 | A4813049 |      5    | EA | _______ | Putaway   | 11/11 10:51 | SM563439 | 03169207  BUSH STEEL STEAM HEXAGONAL  20NB X  8NB 
RECEIVE              | 13023302             |  1 | A4813074 |     34    | EA | _______ | Putaway   | 11/11 10:57 | SM561848 | 03022700  SLEEVE INT COMP UNI BRASS #100 1/2" TUBE
RECEIVE              | 13023501             |  1 | A4813124 |     11    | EA | _______ | Putaway   | 11/11 11:29 | SM562588 | 03164503  NIPPLE STEEL STEAM BARREL  40NB         
RECEIVE              | 13024001             |  1 | A4813125 |      4    | EA | _______ | Putaway   | 11/11 11:29 | SM562588 | 03164804  NIPPLE STEEL STEAM BARREL  80NB         
RECEIVE              | 13024401             |  1 | A4813098 |      1    | EA | _______ | Putaway   | 11/11 11:27 | SM561836 | 03167102  CAP STEEL STEAM   25NB                  
RECEIVE              | 13033201             |  1 | A4813115 |      1    | EA | _______ | Putaway   | 11/11 11:29 | SM562279 | 03196306  SOCKET STEEL STEAM REDUCING  50 X  40 NB
RECEIVE              | 13044203             |  1 | A4813058 |      8    | EA | _______ | Putaway   | 11/11 10:51 | SM563439 | 03730005  NIPPLE STEEL GALV REDUCING 15 X  8 NB   
RECEIVE              | 13044501             |  1 | A4813053 |      1    | EA | _______ | Putaway   | 11/11 10:51 | SM563439 | 03207004  NIPPLE STEEL GALVANISED HEXAGONAL  80 NB
RECEIVE              | 13045601             |  1 | A4813057 |      8    | EA | _______ | Putaway   | 11/11 10:51 | SM563439 | 03626106  BUSH STEEL HEX GALVANISED  40 X 25 NB   
RECEIVE              | 13055201             |  1 | A4813101 |      1    | EA | _______ | Putaway   | 11/11 11:27 | SM561836 | 03225507  ELBOW STEEL GALVANISED M & F  20 NB     
RECEIVE              | 13056101             |  1 | A4813059 |      2    | EA | _______ | Putaway   | 11/11 10:51 | SM563439 | 03223208  PIPE PIECE GAL STEEL 50NB X 150MM       
RECEIVE              | 13061002             |  1 | A4812912 |     20    | EA | _______ | Putaway   | 11/11 09:52 | SM554057 | 02745415  ELBOW M&F 90DEG 316 S/S #25SS 3/4" BSP  
RECEIVE              | 13064801             |  1 | A4813103 |     11    | EA | _______ | Putaway   | 11/11 11:27 | SM561836 | 03625806  BUSH STEEL HEX GALVANISED  25 X 20 NB   
RECEIVE              | 13065402             |  1 | A4813254 |      6    | EA | _______ | Putaway   | 11/11 13:34 | SM562451 | 05356384  FLUORO COMPAC WWHITE 11W BC GENIE11WWWBC
RECEIVE              | 13084201             |  1 | A4813048 |      2    | EA | _______ | Putaway   | 11/11 10:51 | SM563439 | 03162000  UNION STEEL GAL STEEL/STEEL M&F   25 NB 
RECEIVE              | 13084501             |  1 | A4813089 |     60    | EA | _______ | Putaway   | 11/11 11:25 | SM562890 | 01343177  SUNSCREEN 30+ MILK HAMILTON P/PACK 500ML
